"sample_size","t","beta_hat_mean","beta_hat_sd","n_estimates","beta_true"
1000,0.210344827586207,1.28398307590505,0.0487054851739948,200,1.46911970273002
1000,0.237931034482759,1.24383523489923,0.0390669722088342,200,1.49712616579717
1000,0.26551724137931,1.18671888127335,0.0313436081093758,200,1.49525086276934
1000,0.293103448275862,1.12776289353084,0.0318880028671239,200,1.46354999251922
1000,0.320689655172414,1.07090267530809,0.0380763195189565,200,1.40297356320256
1000,0.348275862068966,1.01613822660511,0.0457939009842243,200,1.31533692251938
1000,0.375862068965517,0.963469547421901,0.0532366536970689,200,1.20326635557588
1000,0.403448275862069,0.912896637758455,0.0599679249842865,200,1.07012038066434
1000,0.431034482758621,0.864419497614777,0.0661662680360885,200,0.919889101560264
1000,0.458620689655172,0.818038126990865,0.0723475438412994,200,0.757074632535961
1000,0.486206896551724,0.773752525886719,0.0792400176259665,200,0.586556179500517
1000,0.513793103448276,0.732426532325558,0.087481867126421,200,0.413443820499482
1000,0.541379310344828,0.699243174446687,0.0959420303798302,200,0.242925367464039
1000,0.568965517241379,0.675066290273323,0.103489244191433,200,0.0801108984397354
1000,0.596551724137931,0.659895879805467,0.10953163563542,200,-0.0701203806643438
1000,0.624137931034483,0.653731943043119,0.113731708952725,200,-0.20326635557588
1000,0.651724137931035,0.656574479986278,0.115895055109681,200,-0.315336922519378
1000,0.679310344827586,0.668423490634944,0.115913112751946,200,-0.402973563202562
1000,0.706896551724138,0.689278974989118,0.113735457980355,200,-0.463549992519223
1000,0.73448275862069,0.7191409330488,0.109359883041027,200,-0.495250862769342
1000,0.762068965517241,0.756022208213465,0.10329791708275,200,-0.497126165797167
1000,0.789655172413793,0.792283571180538,0.097350973668115,200,-0.46911970273002
1000,0.817241379310345,0.827170587738148,0.0916454903743268,200,-0.41207076813987
1000,0.844827586206897,0.860683257886294,0.0861307377660903,200,-0.327688998156891
1000,0.872413793103448,0.892821581624977,0.080759915763734,200,-0.218503136283962
1000,0.9,0.923585558954197,0.0754926383961347,200,-0.0877852522924734
5000,0.1,1.26460833980644,0.0584809384725712,200,1.08778525229247
5000,0.127586206896552,1.29978022908078,0.0611451757969042,200,1.21850313628396
5000,0.155172413793103,1.31589801396104,0.0608268311597251,200,1.32768899815689
5000,0.182758620689655,1.31296169444719,0.057060856187817,200,1.41207076813987
5000,0.210344827586207,1.29097127053924,0.0499447633206573,200,1.46911970273002
5000,0.237931034482759,1.2499267422372,0.0404768485027329,200,1.49712616579717
5000,0.26551724137931,1.19136216881089,0.0324364700966984,200,1.49525086276934
5000,0.293103448275862,1.13081108564558,0.0321368065657213,200,1.46354999251922
5000,0.320689655172414,1.07231415785915,0.0376708220968188,200,1.40297356320256
5000,0.348275862068966,1.01587138545158,0.0451516953405902,200,1.31533692251938
5000,0.375862068965517,0.961482768422886,0.0526757376755046,200,1.20326635557588
5000,0.403448275862069,0.909148306773062,0.0597165978821712,200,1.07012038066434
5000,0.431034482758621,0.858868000502109,0.0663860149941641,200,0.919889101560264
5000,0.458620689655172,0.810641849610027,0.0731289312188145,200,0.757074632535961
5000,0.486206896551724,0.764469854096817,0.0805847538807603,200,0.586556179500517
5000,0.513793103448276,0.721266132467755,0.0892793642538652,200,0.413443820499482
5000,0.541379310344828,0.686515395754508,0.0979868827578586,200,0.242925367464039
5000,0.568965517241379,0.661131762462352,0.105621025872709,200,0.0801108984397354
5000,0.596551724137931,0.645115232591289,0.111630262972197,200,-0.0701203806643438
5000,0.624137931034483,0.638465806141318,0.115700920023432,200,-0.20326635557588
5000,0.651724137931035,0.641183483112438,0.11765214975308,200,-0.315336922519378
5000,0.679310344827586,0.653268263504651,0.117382675629431,200,-0.402973563202562
5000,0.706896551724138,0.674720147317956,0.114845249215145,200,-0.463549992519223
5000,0.73448275862069,0.705539134552353,0.110037791291505,200,-0.495250862769342
5000,0.762068965517241,0.743657281556442,0.103490322364105,200,-0.497126165797167
5000,0.789655172413793,0.781124789238554,0.0970873671935748,200,-0.46911970273002
5000,0.817241379310345,0.817156552167932,0.0909738508370855,200,-0.41207076813987
5000,0.844827586206897,0.851752570344575,0.0851094549089426,200,-0.327688998156891
5000,0.872413793103448,0.884912843768484,0.0794571490196711,200,-0.218503136283962
5000,0.9,0.916637372439657,0.0739856563403121,200,-0.0877852522924734
10000,0.1,1.26289190458418,0.0535954211688334,200,1.08778525229247
10000,0.127586206896552,1.29747169616768,0.0551889767767368,200,1.21850313628396
10000,0.155172413793103,1.31329566306329,0.0542487572993465,200,1.32768899815689
10000,0.182758620689655,1.31036380527101,0.0503506218870697,200,1.41207076813987
10000,0.210344827586207,1.28867612279082,0.0436222327209203,200,1.46911970273002
10000,0.237931034482759,1.24823261562274,0.0351464757952578,200,1.49712616579717
10000,0.26551724137931,1.19054293081926,0.0288670701750132,200,1.49525086276934
10000,0.293103448275862,1.13089341120342,0.0302084766283584,200,1.46354999251922
10000,0.320689655172414,1.07326042086056,0.0363177858737182,200,1.40297356320256
10000,0.348275862068966,1.01764395979069,0.0435751295428084,200,1.31533692251938
10000,0.375862068965517,0.964044027993812,0.0504819971425685,200,1.20326635557588
10000,0.403448275862069,0.912460625469922,0.0566974794672334,200,1.07012038066434
10000,0.431034482758621,0.86289375221902,0.062404037431475,200,0.919889101560264
10000,0.458620689655172,0.815343408241109,0.0680780435368169,200,0.757074632535961
10000,0.486206896551724,0.769809593536186,0.0743850435104323,200,0.586556179500517
10000,0.513793103448276,0.727195049402977,0.0819114145124257,200,0.413443820499482
10000,0.541379310344828,0.692916223633831,0.0896433899757567,200,0.242925367464039
10000,0.568965517241379,0.667875857527472,0.0965494809210302,200,0.0801108984397354
10000,0.596551724137931,0.6520739510839,0.102083569038535,200,-0.0701203806643438
10000,0.624137931034483,0.645510504303115,0.10593142627198,200,-0.20326635557588
10000,0.651724137931035,0.648185517185118,0.107910149386087,200,-0.315336922519378
10000,0.679310344827586,0.660098989729907,0.107915743497771,200,-0.402973563202562
10000,0.706896551724138,0.681250921937484,0.105897274356613,200,-0.463549992519223
10000,0.73448275862069,0.711641313807849,0.101846991840082,200,-0.495250862769342
10000,0.762068965517241,0.749232721630616,0.0962258495111947,200,-0.497126165797167
10000,0.789655172413793,0.786192597286218,0.0906830395878689,200,-0.46911970273002
10000,0.817241379310345,0.82174741480319,0.0853426182272269,200,-0.41207076813987
10000,0.844827586206897,0.855897174181531,0.0801681129912128,200,-0.327688998156891
10000,0.872413793103448,0.888641875421241,0.0751282829114683,200,-0.218503136283962
10000,0.9,0.919981518522321,0.0701997271281552,200,-0.0877852522924734
